date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2015-06-08,3333.83,3458.71,3469.22,3308.3,248254042.0,350471168000.0,4.87,4.68,154.72,1.48
2015-06-09,3494.82,3414.0,3494.82,3376.02,220448561.0,340397076480.0,3.43,-1.29,-44.71,1.32
2015-06-10,3362.81,3370.38,3415.28,3338.68,155294692.0,246677082112.0,2.24,-1.28,-43.62,0.93
2015-06-11,3369.0,3347.12,3383.49,3313.59,138073848.0,226193698816.0,2.07,-0.69,-23.26,0.83
2015-06-12,3364.44,3350.25,3374.82,3319.2,145262254.0,225464246272.0,1.66,0.09,3.13,0.87
2015-06-15,3359.71,3262.48,3366.84,3254.62,167322560.0,249139892224.0,3.35,-2.62,-87.77,1.0
2015-06-16,3233.15,3179.65,3275.47,3149.08,155969897.0,215445606400.0,3.87,-2.54,-82.83,0.93
2015-06-17,3198.14,3211.71,3222.44,3144.49,159571564.0,207598399488.0,2.45,1.01,32.06,0.95
2015-06-18,3183.23,3068.49,3183.23,3067.49,137345042.0,182753386496.0,3.6,-4.46,-143.22,0.82
2015-06-19,3030.22,2903.06,3067.82,2900.79,131783926.0,175635865600.0,5.44,-5.39,-165.43,0.79
2015-06-23,2907.08,3003.16,3007.63,2822.47,135617644.0,181578407936.0,6.38,3.45,100.1,0.81
2015-06-24,3009.77,3045.24,3052.11,2962.65,141585882.0,192146956288.0,2.98,1.4,42.08,0.85
2015-06-25,3069.4,2943.99,3082.56,2929.11,160158308.0,220485922816.0,5.04,-3.32,-101.25,0.96
2015-06-26,2875.12,2736.7,2953.96,2678.77,183355804.0,239246446592.0,9.35,-7.04,-207.29,1.1
2015-06-29,2802.77,2678.37,2822.11,2530.83,212018714.0,268112920576.0,10.64,-2.13,-58.33,1.27
2015-06-30,2678.64,2870.03,2872.51,2628.0,219592300.0,275002232832.0,9.13,7.16,191.66,1.31
2015-07-01,2823.94,2736.85,2872.91,2721.48,169957701.0,218026246144.0,5.28,-4.64,-133.18,1.02
2015-07-02,2767.99,2714.25,2805.67,2611.86,209045755.0,245275791360.0,7.08,-0.83,-22.6,1.25
2015-07-03,2674.56,2582.27,2738.66,2511.17,184361917.0,212838563840.0,8.38,-4.86,-131.98,1.1
2015-07-06,2807.75,2750.0,2807.75,2649.56,344834278.0,383917334528.0,6.13,6.5,167.73,2.06
2015-07-07,2682.5,2812.45,2825.49,2612.12,350314798.0,428297506816.0,7.76,2.27,62.45,2.09
2015-07-08,2596.71,2608.98,2760.52,2546.46,377459400.0,407199236096.0,7.61,-7.23,-203.47,2.26
2015-07-09,2575.34,2781.08,2828.75,2493.64,271176771.0,304601931776.0,12.84,6.6,172.1,1.62
2015-07-10,2749.12,2898.41,2997.6,2717.71,296251843.0,361175453696.0,10.06,4.22,117.33,1.77
2015-07-13,2855.7,2869.05,2949.2,2805.91,233341056.0,289573740544.0,4.94,-1.01,-29.36,1.39
2015-07-14,2821.97,2763.07,2843.25,2717.03,194368425.0,234177777664.0,4.4,-3.69,-105.98,1.16
2015-07-15,2725.92,2757.95,2779.95,2665.95,185948027.0,211874750464.0,4.13,-0.19,-5.12,1.11
2015-07-16,2754.83,2742.85,2780.0,2708.72,135246162.0,151401566208.0,2.58,-0.55,-15.1,0.81
2015-07-17,2756.87,2807.07,2834.18,2723.74,130241111.0,160825184256.0,4.03,2.34,64.22,0.78
2015-07-20,2798.56,2783.76,2815.7,2766.94,130862495.0,166660026368.0,1.74,-0.83,-23.31,0.78
2015-07-21,2757.66,2772.77,2799.82,2743.16,115826578.0,152027267072.0,2.04,-0.39,-10.99,0.69
2015-07-22,2757.28,2739.79,2771.0,2721.35,106654531.0,140089843712.0,1.79,-1.19,-32.98,0.64
2015-07-23,2741.42,2790.76,2796.37,2736.38,113582039.0,151861837824.0,2.19,1.86,50.97,0.68
2015-07-24,2794.05,2741.04,2807.62,2735.3,123928909.0,163019755520.0,2.59,-1.78,-49.72,0.74
2015-07-27,2698.8,2493.29,2715.36,2491.12,136645105.0,158951325696.0,8.18,-9.04,-247.75,0.82
2015-07-28,2427.03,2485.67,2531.23,2400.87,140338854.0,164763021312.0,5.23,-0.31,-7.62,0.84
2015-07-29,2496.9,2531.45,2535.6,2459.08,93078154.0,112668844032.0,3.08,1.84,45.78,0.56
2015-07-30,2525.08,2467.37,2548.27,2459.92,86949827.0,108522360832.0,3.49,-2.53,-64.08,0.52
2015-07-31,2452.05,2461.24,2490.66,2432.49,74725373.0,88953040896.0,2.36,-0.25,-6.13,0.45
