date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2015-06-08,3862.8,3704.55,3862.8,3643.04,44704763.0,180590403584.0,5.66,-4.67,-181.28,0.81
2015-06-09,3664.37,3705.54,3793.37,3633.72,38942848.0,157346873344.0,4.31,0.03,0.99,0.7
2015-06-10,3695.06,3834.7,3876.85,3676.76,43364844.0,169019035648.0,5.4,3.49,129.16,0.78
2015-06-11,3843.98,3862.14,3884.37,3815.06,44129787.0,167538429952.0,1.81,0.72,27.44,0.8
2015-06-12,3889.16,3899.71,3922.7,3850.59,44912714.0,182173462528.0,1.87,0.97,37.57,0.81
2015-06-15,3919.36,3696.03,3919.36,3688.89,47406720.0,184816631808.0,5.91,-5.22,-203.68,0.85
2015-06-16,3636.79,3590.67,3669.82,3475.35,43314291.0,169391747072.0,5.26,-2.85,-105.36,0.78
2015-06-17,3586.37,3741.36,3754.37,3511.11,39791390.0,156131274752.0,6.77,4.2,150.69,0.72
2015-06-18,3734.91,3504.55,3752.18,3497.73,38221169.0,150724362240.0,6.8,-6.33,-236.81,0.69
2015-06-19,3408.53,3314.98,3476.03,3304.65,36852903.0,136356405248.0,4.89,-5.41,-189.57,0.66
2015-06-23,3314.89,3393.94,3397.27,3154.6,38158329.0,137315172352.0,7.32,2.38,78.96,0.69
2015-06-24,3425.57,3383.4,3459.46,3304.67,37628646.0,140110979072.0,4.56,-0.31,-10.54,0.68
2015-06-25,3403.63,3206.38,3408.23,3172.37,36857094.0,133833601024.0,6.97,-5.23,-177.02,0.66
2015-06-26,3078.4,2920.7,3078.4,2915.94,35432058.0,117324247040.0,5.07,-8.91,-285.68,0.64
2015-06-29,2943.5,2689.76,2950.13,2663.44,38531844.0,116379987968.0,9.82,-7.91,-230.94,0.69
2015-06-30,2566.02,2858.61,2875.09,2485.46,54686572.0,161327951872.0,14.49,6.28,168.85,0.99
2015-07-01,2842.17,2759.41,3008.19,2743.61,52601142.0,170035339264.0,9.26,-3.47,-99.2,0.95
