date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2015-06-08,11157.18,11030.92,11157.18,10860.39,235630582.0,457818554368.0,2.66,-1.02,-113.6,2.08
2015-06-09,11009.88,11013.74,11089.2,10861.58,185184468.0,365243117568.0,2.06,-0.16,-17.18,1.64
2015-06-10,10947.49,11208.06,11319.91,10830.33,184590364.0,375121158144.0,4.45,1.76,194.32,1.63
2015-06-11,11220.07,11366.29,11367.63,11155.95,190367982.0,381798543360.0,1.89,1.41,158.23,1.68
2015-06-12,11424.34,11545.89,11616.39,11400.65,210655588.0,425433231360.0,1.9,1.58,179.6,1.86
2015-06-15,11589.95,11332.89,11616.35,11304.04,205877379.0,425890897920.0,2.7,-1.84,-213.0,1.82
2015-06-16,11205.75,10879.84,11205.75,10768.62,179503841.0,362990370816.0,3.86,-4.0,-453.05,1.59
2015-06-17,10865.4,11100.55,11133.11,10497.69,160039588.0,321536143360.0,5.84,2.03,220.71,1.42
2015-06-18,11093.3,10731.38,11178.32,10714.33,154351939.0,307393310720.0,4.18,-3.33,-369.17,1.37
2015-06-19,10475.92,9987.41,10601.04,9968.99,137848612.0,260339527680.0,5.89,-6.93,-743.97,1.22
2015-06-23,9951.78,10046.89,10074.83,9333.91,141045839.0,255196430336.0,7.42,0.6,59.48,1.25
2015-06-24,10136.25,10267.63,10271.23,9950.62,158209439.0,300642770944.0,3.19,2.2,220.74,1.4
2015-06-25,10298.56,9906.1,10343.06,9771.89,164073382.0,314829258752.0,5.56,-3.52,-361.53,1.45
2015-06-26,9571.56,9078.06,9603.13,9059.36,145076585.0,247206313984.0,5.49,-8.36,-828.04,1.28
2015-06-29,9267.03,8484.64,9281.17,8339.33,181652777.0,291293818880.0,10.37,-6.54,-593.42,1.61
2015-06-30,8302.18,8906.02,8912.4,7882.33,195568535.0,306723438592.0,12.14,4.97,421.38,1.73
2015-07-01,8808.52,8411.91,9103.09,8385.43,171297426.0,287642386432.0,8.06,-5.55,-494.11,1.52
2015-07-02,8369.49,7835.1,8433.52,7787.1,156973834.0,236427497472.0,7.68,-6.86,-576.81,1.39
2015-07-03,7530.27,7355.49,7930.15,7249.31,156105994.0,211908120576.0,8.69,-6.12,-479.61,1.38
2015-07-06,7842.43,7236.0,7842.43,6883.61,230754386.0,295173222400.0,13.04,-1.62,-119.49,2.04
2015-07-07,6977.55,6763.53,7030.98,6763.12,114115960.0,130756874240.0,3.7,-6.53,-472.47,1.01
2015-07-08,6444.67,6602.37,6702.28,6444.25,275340759.0,306332688384.0,3.82,-2.38,-161.16,2.44
2015-07-09,6525.12,6896.35,6896.49,6525.12,95815747.0,113774456832.0,5.62,4.45,293.98,0.85
2015-07-10,7101.82,7244.78,7245.33,7081.35,72141194.0,92427698176.0,2.38,5.05,348.43,0.64
2015-07-13,7563.38,7695.64,7695.67,7502.55,124577679.0,174731608064.0,2.67,6.22,450.86,1.1
2015-07-14,7854.0,7859.06,8076.19,7772.39,167383703.0,249877917696.0,3.95,2.12,163.42,1.48
2015-07-15,7836.08,7405.29,7837.84,7391.96,164267658.0,231734124544.0,5.67,-5.77,-453.77,1.45
2015-07-16,7342.83,7578.76,7729.7,7078.71,142013079.0,200520466432.0,8.79,2.34,173.47,1.26
2015-07-17,7629.78,7994.7,8050.73,7620.16,139377370.0,208394145792.0,5.68,5.49,415.94,1.23
2015-07-20,8025.1,8116.5,8250.4,7931.65,162131840.0,252542558208.0,3.99,1.52,121.8,1.43
2015-07-21,8011.9,8220.46,8291.93,7937.63,143097592.0,222962315264.0,4.37,1.28,103.96,1.27
2015-07-22,8207.17,8320.24,8354.39,8075.6,161165847.0,250461708288.0,3.39,1.21,99.78,1.43
2015-07-23,8330.47,8551.99,8585.8,8288.84,177494966.0,273744551936.0,3.57,2.79,231.75,1.57
2015-07-24,8580.65,8425.07,8706.25,8348.42,196947876.0,319783661568.0,4.18,-1.48,-126.92,1.74
2015-07-27,8240.68,7794.18,8493.35,7791.6,171740042.0,277807583232.0,8.33,-7.49,-630.89,1.52
2015-07-28,7514.15,7649.82,7893.94,7261.61,180294331.0,265548849152.0,8.11,-1.85,-144.36,1.6
2015-07-29,7765.95,8022.8,8024.58,7472.63,132745244.0,207022690304.0,7.22,4.88,372.98,1.17
2015-07-30,7979.57,7800.58,8174.7,7766.46,141928699.0,228327428096.0,5.09,-2.77,-222.22,1.26
2015-07-31,7692.48,7727.06,7876.65,7634.54,107834135.0,169763024896.0,3.1,-0.94,-73.52,0.95
2015-08-03,7605.9,7540.21,7658.17,7370.04,112364590.0,165121585152.0,3.73,-2.42,-186.85,0.99
2015-08-04,7548.03,7942.1,7942.27,7532.83,117180321.0,175497236480.0,5.43,5.33,401.89,1.04
2015-08-05,7933.32,7839.34,8047.7,7773.92,119999767.0,186153218048.0,3.45,-1.29,-102.76,1.06
2015-08-06,7660.58,7792.03,7891.56,7633.29,90058281.0,137351467008.0,3.29,-0.6,-47.31,0.8
2015-08-07,7874.42,8013.32,8015.37,7855.68,109469663.0,170596073472.0,2.05,2.84,221.29,0.97
2015-08-10,8106.12,8394.09,8437.92,8079.88,145317371.0,230799532032.0,4.47,4.75,380.77,1.29
2015-08-11,8402.32,8435.33,8551.53,8356.52,162434826.0,263074578432.0,2.32,0.49,41.24,1.44
2015-08-12,8342.61,8336.34,8490.27,8320.05,132680645.0,217931591680.0,2.02,-1.17,-98.99,1.17
